Well,Area,Overburden,HC_column,Trap_height,Trap_fill_%,Trap_fill_normalised_%
6608/11-2,1,1281,89,153,58,58
6507/3-8,1,2292,151,160,94,94
6507/3-10,1,2806,77,320,24,24
6608/11-4,1,1278,18,18,100,100
6508/1-2,1,1281,40,40,100,100
6506/6-1,1,4416,530,530,100,100
6506/6-1,1,4566,500,500,100,100
6507/3-5S,1,3227,160,195,82,82
6607/12-2S,1,3171,140,220,64,64
6607/12-2S,1,2596,63,63,100,100
6607/12-2S,1,2696,55,55,100,100
6507/7-14S,1,3744,212,302,70,70
6507/7-15S,1,3774,204,457,45,45
6507/2-2,1,2411,40,77,52,52
6608/10-3,1,2118,189,191,99,99
6608/10-2,1,2141,176,176,100,100
6608/10-4,1,2153,40,156,26,26
6507/5-1,1,2904,403,353,114,100
6507/5-4,1,2905,363,437,83,83
6507/5-1,1,3011,336,376,89,89
6507/5-5,1,2967,328,643,51,51
6507/5-1,1,3059,306,354,86,86
6507/3-3,1,3079,193,285,68,68
6507/3-3,1,2906,156,283,55,55
6608/10-14S,1,1991,205,205,100,100
6608/10-12,1,2330,192,192,100,100
6608/10-14S,1,2066,174,174,100,100
6608/10-8,1,1864,256,295,87,87
6608/10-8,1,1906,178,305,58,58
6608/10-6,1,1434,146,168,87,87
6608/10-9,1,1707,81,244,33,33
6608/10-15,1,1498,72,107,67,67
6608/10-11S,1,3080,70,70,100,100
6608/10-15,1,1434,62,76,82,82
6608/10-6,1,1392,44,90,49,49
6507/5-3,1,2385,55,55,100,100
6507/5-6S,1,2442,32,57,56,56
6507/3-9S,1,2443,15,16,94,94
6507/7-13,1,1987,102,102,100,100
6406/12-4S,1,2925,26,26,100,100
6407/5-2S,1,2725,40,40,100,100
6406/1-1,1,4298,18,18,100,100
6407/2-6S,1,2623,150,150,100,100
6506/9-2S,1,3819,254,400,64,64
6407/8-4A,1,1814,80,80,100,100
6407/8-4S,1,1814,80,80,100,100
6407/9-9,1,1455,23,23,100,100
6406/2-8,1,4022,116,116,100,100
6406/2-1,1,4372,514,514,100,100
6406/2-1,1,4299,107,107,100,100
6406/2-1,1,4515,43,43,100,100
6406/6-3,1,3535,14,14,100,100
6507/11-9,1,2269,70,70,100,100
6407/7-8,1,4582,175,175,100,100
6407/2-5S,1,2490,68,145,47,47
6407/2-5S,1,2450,46,100,46,46
6507/10-2S,1,2283,64,64,100,100
6406/9-3,1,4142,215,215,100,100
6407/1-6S,1,3145,70,70,100,100
6507/11-6,1,2715,30,30,100,100
6406/1-2,1,3751,24,24,100,100
6407/1-7,1,2909,18,18,100,100
6407/4-1,1,3643,63,63,100,100
6407/8-2,1,1349,51,108,47,47
6406/5-1,1,3839,95,95,100,100
6406/6-4S,1,3664,65,75,87,87
6507/11-8,1,2091,98,98,100,100
6407/8-6,1,2694,214,214,100,100
6407/8-6,1,2533,200,200,100,100
6407/8-6,1,2465,59,127,46,46
6407/9-1,1,1342,45,45,100,100
6406/12-3S,1,2926,230,230,100,100
6406/12-3A,1,3071,25,25,100,100
6507/7-2,1,1709,413,413,100,100
6507/7-2,1,1814,292,292,100,100
6507/7-6,1,1994,71,71,100,100
6407/8-5S,1,1798,80,80,100,100
6406/2-3,1,4203,238,238,100,100
